PlayerA,PlayerB,RankA,RankB,WinnerBinary,MaxOddsPlayerA,MaxOddsPlayerB,AvgOddsPlayerA,AvgOddsPlayerB,H2H_A_wins,H2H_B_wins,H2H_Diff,WinsA,LossesA,WinsB,LossesB,WinRateA,WinRateB
Kecmanovic M.,Nagal S.,52,73,1,1.12,9.0,1.1,7.22,2,0,2,15,19,0,1,0.4411764705882353,0.0
Berrettini M.,Fucsovics M.,59,70,1,1.21,5.32,1.18,4.9,2,1,1,41,11,18,19,0.7884615384615384,0.4864864864864865
Martinez P.,Paul T.,49,13,0,19.0,1.05,11.82,1.04,0,4,-4,3,9,24,13,0.25,0.6486486486486487
Hanfmann Y.,Sinner J.,110,1,0,43.93,1.02,21.84,1.01,0,3,-3,7,12,22,10,0.3684210526315789,0.6875
Mannarino A.,Monfils G.,24,33,0,2.62,1.6,2.46,1.55,2,6,-4,71,52,46,36,0.5772357723577236,0.5609756097560976
Purcell M.,Virtanen O.,68,147,0,1.69,2.4,1.62,2.29,0,1,-1,8,11,2,2,0.42105263157894735,0.5
Bautista Agut R.,Marterer M.,112,85,1,1.29,4.22,1.26,3.88,1,0,1,44,21,4,10,0.676923076923077,0.2857142857142857
Kovacevic A.,Medvedev D.,88,5,0,23.0,1.04,14.64,1.02,0,1,-1,2,4,51,24,0.3333333333333333,0.68
Baez S.,Nakashima B.,18,65,0,6.0,1.18,5.37,1.16,0,1,-1,3,7,18,14,0.3,0.5625
Galan D.E.,Griekspoor T.,103,27,0,7.27,1.14,6.32,1.12,0,1,-1,6,5,20,11,0.5454545454545454,0.6451612903225806
Garin C.,Shang J.,106,91,0,2.1,1.91,1.97,1.84,0,1,-1,9,10,3,2,0.47368421052631576,0.6
Bolt A.,Ruud C.,234,8,0,3.2,1.45,2.97,1.4,0,1,-1,4,10,5,9,0.2857142857142857,0.35714285714285715
Janvier M.,Zhang Zh.,225,38,0,5.0,1.22,4.59,1.2,0,1,-1,0,1,6,8,0.0,0.42857142857142855
Fognini F.,Van Assche L.,94,104,1,2.2,1.82,2.08,1.75,2,0,2,25,24,1,3,0.5102040816326531,0.25
Dimitrov G.,Lajovic D.,10,56,1,1.05,21.59,1.04,12.61,3,1,2,46,32,6,18,0.5897435897435898,0.25
Navone M.,Sonego L.,32,54,0,9.95,1.09,8.29,1.08,0,2,-2,0,3,23,20,0.0,0.5348837209302325
Broom C.,Wawrinka S.,248,95,0,2.35,1.67,2.3,1.62,0,1,-1,0,2,34,33,0.0,0.5074626865671642
Jarry N.,Shapovalov D.,20,121,0,2.56,1.63,2.41,1.57,0,1,-1,9,11,21,23,0.45,0.4772727272727273
